New York,NY,8804190
Los Angeles,CA,3898747
Chicago,IL,2746388
Houston,TX,2304580
Phoenix,AZ,1608139
Philadelphia,PA,1603797
San Antonio,TX,1434625
San Diego,CA,1386932
Dallas,TX,1304379
San Jose,CA,1013240
Austin,TX,961855
Jacksonville,FL,949611
Fort Worth,TX,918915
Columbus,OH,905748
Indianapolis,IN,887642
Charlotte,NC,874579
San Francisco,CA,873965
Seattle,WA,737015
Denver,CO,715522
Washington,DC,689545
Nashville,TN,689447
Oklahoma City,OK,681054
El Paso,TX,678815
Boston,MA,675647
Portland,OR,652503
Las Vegas,NV,641903
Detroit,MI,639111
Memphis,TN,633104
Louisville,KY,633045
Baltimore,MD,585708
Milwaukee,WI,577222
Albuquerque,NM,564559
Tucson,AZ,542629
Fresno,CA,542107
Sacramento,CA,524943
Kansas City,MO,508090
Mesa,AZ,504258
Atlanta,GA,498715
Omaha,NE,486051
Colorado Springs,CO,478961
Raleigh,NC,467665
Long Beach,CA,466742
Virginia Beach,VA,459470
Miami,FL,442241
Oakland,CA,440646
Minneapolis,MN,429954
Tulsa,OK,413066
Bakersfield,CA,403455
Wichita,KS,397532
Arlington,TX,394266
Aurora,CO,386261
Tampa,FL,384959
New Orleans,LA,383997
Cleveland,OH,372624
Honolulu,HI,350964
Anaheim,CA,346824
Lexington,KY,322570
Stockton,CA,320804
Corpus Christi,TX,317863
Henderson,NV,317610
Riverside,CA,314998
Newark,NJ,311549
St Paul,MN,311527
Santa Ana,CA,310227
Cincinnati,OH,309317
Irvine,CA,307670
Orlando,FL,307573
Pittsburgh,PA,302971
St Louis,MO,301578
Greensboro,NC,299035
Jersey City,NJ,292449
Anchorage,AK,291247
Lincoln,NE,291082
Plano,TX,285494
Durham,NC,283506
Buffalo,NY,278349
Chandler,AZ,275987
Chula Vista,CA,275487
Toledo,OH,270871
Madison,WI,269840
Gilbert,AZ,267918
Reno,NV,264165
Fort Wayne,IN,263886
North Las Vegas,NV,262527
St Petersburg,FL,258308
Lubbock,TX,257141
Irving,TX,256684
Laredo,TX,255205
Winston Salem,NC,249545
Chesapeake,VA,249422
Glendale,AZ,248325
Garland,TX,246018
Scottsdale,AZ,241361
Norfolk,VA,238005
Boise,ID,235684
Fremont,CA,230504
Spokane,WA,228989
Santa Clarita,CA,228673
Baton Rouge,LA,227470
Richmond,VA,226610
Hialeah,FL,223109
San Bernardino,CA,222101
Tacoma,WA,219346
Modesto,CA,218464
Huntsville,AL,215006
Des Moines,IA,214133
Yonkers,NY,211569
Rochester,NY,211328
Moreno Valley,CA,208634
Fayetteville,NC,208501
Fontana,CA,208393
Columbus,GA,206922
Worcester,MA,206518
Port St Lucie,FL,204851
Little Rock,AR,202591
Augusta,GA,202081
Oxnard,CA,202063
Birmingham,AL,200733
Montgomery,AL,200603
Frisco,TX,200509
Amarillo,TX,200393
Salt Lake City,UT,199723
Grand Rapids,MI,198917
Huntington Beach,CA,198711
Overland Park,KS,197238
Glendale,CA,196543
Tallahassee,FL,196169
Grand Prairie,TX,196100
McKinney,TX,195308
Cape Coral,FL,194016
Sioux Falls,SD,192517
Peoria,AZ,190985
Providence,RI,190934
Vancouver,WA,190915
Knoxville,TN,190740
Akron,OH,190469
Shreveport,LA,187593
Mobile,AL,187041
Brownsville,TX,186738
Newport News,VA,186247
Fort Lauderdale,FL,182760
Chattanooga,TN,181099
Tempe,AZ,180587
Aurora,IL,180542
Santa Rosa,CA,178127
Eugene,OR,176654
Elk Grove,CA,176124
Salem,OR,175535
Ontario,CA,175265
Cary,NC,174721
Rancho Cucamonga,CA,174453
Oceanside,CA,174068
Lancaster,CA,173516
Garden Grove,CA,171949
Pembroke Pines,FL,171178
Fort Collins,CO,169810
Palmdale,CA,169450
Springfield,MO,169176
Clarksville,TN,166722
Salinas,CA,163542
Hayward,CA,162954
Paterson,NJ,159732
Alexandria,VA,159467
Macon,GA,157346
Corona,CA,157136
Kansas City,KS,156607
Lakewood,CO,155984
Springfield,MA,155929
Sunnyvale,CA,155805
Jackson,MS,153701
Killeen,TX,153095
Hollywood,FL,153067
Murfreesboro,TN,152769
Pasadena,TX,151950
Bellevue,WA,151854
Pomona,CA,151713
Escondido,CA,151038
Joliet,IL,150362
Charleston,SC,150227
Mesquite,TX,150108
Naperville,IL,149540
Rockford,IL,148655
Bridgeport,CT,148654
Syracuse,NY,148620
Savannah,GA,147780
Roseville,CA,147773
Torrance,CA,147067
Fullerton,CA,143617
Surprise,AZ,143148
McAllen,TX,142210
Thornton,CO,141867
Visalia,CA,141384
Olathe,KS,141290
Gainesville,FL,141085
West Valley City,UT,140230
Orange,CA,139911
Denton,TX,139869
Warren,MI,139387
Pasadena,CA,138699
Waco,TX,138486
Cedar Rapids,IA,137710
Dayton,OH,137644
Elizabeth,NJ,137298
Hampton,VA,137148
Columbia,SC,136632
Kent,WA,136588
Stamford,CT,135470
Lakewood,NJ,135158
Victorville,CA,134810
Miramar,FL,134721
Coral Springs,FL,134394
Sterling Heights,MI,134346
New Haven,CT,134023
Carrollton,TX,133434
Midland,TX,132524
Norman,OK,128026
Santa Clara,CA,127647
Athens,GA,127315
Thousand Oaks,CA,126966
Topeka,KS,126587
Simi Valley,CA,126356
Columbia,MO,126254
Vallejo,CA,126090
Fargo,ND,125990
Allentown,PA,125845
Pearland,TX,125828
Concord,CA,125410
Abilene,TX,125182
Arvada,CO,124402
Berkeley,CA,124321
Ann Arbor,MI,123851
Independence,MO,123011
Rochester,MN,121395
Lafayette,LA,121374
Hartford,CT,121054
College Station,TX,120511
Clovis,CA,120124
Fairfield,CA,119881
Palm Bay,FL,119760
Richardson,TX,119469
Round Rock,TX,119468
Cambridge,MA,118403
Meridian,ID,117635
West Palm Beach,FL,117415
Evansville,IN,117298
Clearwater,FL,117292
Billings,MT,117116
West Jordan,UT,116961
Richmond,CA,116448
Westminster,CO,116317
Manchester,NH,115644
Lowell,MA,115554
Wilmington,NC,115451
Antioch,CA,115291
Beaumont,TX,115282
Provo,UT,115162
North Charleston,SC,114852
Elgin,IL,114797
Carlsbad,CA,114746
Odessa,TX,114428
